Mobile,Review
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","[""After getting the phone and going to my provider for a nano sim.... You must run the android update to get all of the features. My phone would not allow ringtone, alarm, or notification changes until after the update completed. Other than that it's a BLU phone. It's fast enough to get the job done, relatively good reception in the house and 5 bars out side as 4G LTE. Wifi seems a bit intermittent, but the update may have fixed that too. It's a great replacement for my dead BLU Studio X+ I've had for years.""]"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","['I got this phone for my 12 year old daughter and wanted something basic without it costing a lot. It was easy to set up and even arrived with a 60% battery charge. I was happy that it came with a screen protector and a clear case because the one I ordered did not fit. The only reason I gave it 4 stars is because I can’t seem to find another case!\n\nUpdate March 29th 2020: This phone was sent in because it stopped charging. Got it back and it’s still taking 13+ hours to charge, if it charges at all. Customer service was great. I will not be buying this phone again though!']"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object",['I really liked how it was such a good deal for the price. It is a very good replacement phone for me and possibly you']
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object",['very nice design. Phone feels quite sturdy. I always buy BLU studios so i watch TV or so. this phone is amazing. My wife is quite happy with her gift. Lots of internal space and easy user interface. Very easy to set up. Open to all networks(unlocked phone) My wife is enjoying games on it right now!! haha']
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object",['Packaging was good and all parts came in. Phone turns on right away and it’s nice and bright everything seems to work accordingly.\nPhone comes with silicon protector.\nScreen protector came broken.']
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","['The phone is fast, seems well made, has lots of memory for apps and stuff, but the screen quality is very poor. Also, the camera is weak.\n\nI like the phone overall, but I really wish the screen was easier on the eyes. The text doesnt show up smoothly as the font seems irregular. The font reminds me of the outpit from a 1990s dot-,matrix printer.']"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object","['Hasta el momento funciona muy bien, un plus que traiga tanto funda como mica de cristal, lo compraría de nuevo, llegó mas pronto de lo que indicaba el envío.']"
"Mobile    [BLU Studio Mini -5.5HD Smartphone, 32GB+2GB R...
Name: 1, dtype: object",['']
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object","[""I switched from an iPhone and have no complaints. Phone works great, takes great pictures, and battery lasts the day. Be aware that it is a large phone (not something I checked before purchasing) but besides it being a little larger than I'd like, it's a really great phone.""]"
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object",['I bought this to use as my second phone because of a long-lasting battery. Also very important for me was expandable memory. If built- in 32 GB of memory will not enough I am able to expand up to 512 GB. And that sounds amazing!!! Phone takes beautiful very good quality photos and videos. Fast enough! This is a great deal with pricing and quality!\nUpdate: I refund it. Doesn’t work with my provider.']
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object","['The software problems that usually occur after 6 months with most phones, start occurring after 2 with this one.\nEverything freezes. Status bar comes down 300x a day without provocation.']"
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object",['Funciona con sim card de Ultra mobile aqui en Estados Unidos']
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object",['']
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object",['So far so good']
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object","[""wow. what a price what a value, can't wait until I need a new one""]"
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object","[""This would be a good phone for the price but the color isn't good. It's as if images have reduced saturation, so things look washed out.""]"
"Mobile    [Samsung Galaxy A21 Factory Unlocked Android C...
Name: 2, dtype: object","[""Took this to get activated and got home and couldn't make calls or send texts. Went back to the store and they said it was the phone, which led to buying another phone at the store and several hours out of my day , plus having to pack this and the case I ordered for it and send it back to Amazon. Very disappointed""]"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['I was worried for 2 days how a phone ordered off here for the price was going to come and I was very shocked and relieved when the package came. The phone was brand new in the right phone box everything still had plastic and protectors on them was very happy and my husband loves it very nice phone! When took it to metro to hook up there were no problems employee at store was like wow this is one of the nice ones! I live in Florida and was worried about it sayin international version but I had no problems with it hope this helps someone decide cause even with reading the bad reviews which idk how there are any i bought it anyway and wanted to let everyone know my experience! I even just bought one for myself from the same seller just to make sure lol!']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","[""This is an international phone only. Not compatible with Verizon. Sprint or At&t or all major carriers!!! That should be written in the headline!! Don't buy it's a total scam!""]"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","[""Bought this as a replacement phone for my mom's birthday. We went to the T-Mobile store and got all of the contacts and data transferred over. By the time we got back to my house, 10 mins away, the screen had a vertical line of dead pixels and a ghosting pixel box on the screen. Tried to go the cheaper route via Amazon, but I'll settle for a refund and just buy direct from T-Mobile.""]"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","['Nice phone at the price point. Smooth navigation. No issues adding a TMobile plan which was my main concern when reading some other reviews. Glad it worked out, saved some bucks rather than buying at the phone retail store.']"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['Great buy !!!! Also purchase the warranty from Amazon!!!! 64 GB sd card is a major ++++']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","['When the flagships reached $1000, I stopped buying them and started looking for options. The A20S is a great deal, and about like a Note 4 or 5 without the pen.\n\nDoes all the business and travel apps I need.\n\nVery subtle key lag due to 3 gigs of ram, but it is very very slight and there is no freezing.\n\nI do not plan on upgrading until the wheels fall of this one.']"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['Don’t buy its indian version\nIts description say its international but on box its say only india sim only']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['Item reached on time as promised. Seller even included a 64mb Memory Card. A Pleasant Surprise']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","['Venia bien sellado, con todos sus accesorios, buen equipo, lo malo fue que en la paquetería tuve problemas de entrega, no leen instrucciones de entrega, pero es ajeno a amazon...']"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","['¡No compren este teléfono con Telmov! No sé si quisieron estafarme o qué les pasa pero no me mandaron lo que compre, me mandaron un par de cámaras que nada que ver con el pedido y un costo mucho menor de lo que pedí y aunque fuera del mismo costo, no fue lo que pedí.']"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","['Si le cargas la mano con apps y demás, si le cuesta trabajo al procesador, se hace lento vaya, un par de veces se ha trabado; haces limpieza de cache y apps y trabaja muy bien. Puedes escoger de qué SIM hacer/enviar llamadas/mensajes, o uso de datos. Puedes recibir llamadas en ambas SIM (números) sin necesidad de brincar de uno a otro (como algunos modelos antes se tenía que hacer). Tener apps gemelas como con WhatsApp te deja tener el mismo para ambas lineas. En general es muy buen teléfono para el costo del mismo. Diseño atractivo y se siente bien en relación a textura y peso.']"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object","['Me gusto mucho el móvil, tiene muy bien precio calidad. el envío fue rápido pero el empaque ya se encontraba violado (abierto) por lo que no me parece muy bien, Le mande un mensaje al vendedor para facturar pero nunca me respondió por lo que si busca factura no es una buena opción.']"
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['En realidad es un telefono muy sencillo lo que cambia es su tamaño y lo hace muy dificil de maniobrar no tiene muy buena señal en cuanto al precio es alto por una mala calidad esta mejor el a10']
"Mobile    [Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Du...
Name: 3, dtype: object",['']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","[""Starting later this year, 2G and 3G networks are getting shut down so phones will require VoLTE which this doesn't have.""]"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","[""Great Phone!!! I never thought that a $129 phone would be this good. I don't use it for taking pictures or gaming. I use my s10 plus for that. I originally bought it so I can use it as a webcam. Very happy with the result. Other times I just use it for browsing Facebook and YouTube. Although the price of this phone is about one-tenth of my s10 plus, it's not one-tenth of the s10 plus. It is much better. The best part of this phone is its battery life. Amazing!!!""]"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","['This phone is one of the best budget Android phones available. It runs stock android (aka ""Android One"") without any bloatware or manufacturer-installed spyware. I chose this Nokia 2.3 over the older less expensive Nokia 2.2 because (a) it has a MUCH larger battery and (b) it\'s a year newer, which means it will get Android updates for a year longer.\n\nNow that I have the phone, I have some surprises: (a) it only operates on GSM networks (ATT or T-mobile), which means you can\'t use it on CDMA networks (Verizon or Sprint); (b) it charges using micro-usb connector instead of the newer/better usb-c; (c) it doesn\'t have fast charging; (d) it doesn\'t have a fingerprint reader; and (e) it takes a long time to boot or turn on. Of those complaints, the fact that it only works on GSM networks was a complete surprise to me. I ended up returning it and purchasing a moto e instead. The moto e costs $20 more and it\'s not android one but it supports GSM and CDMA, has a better display, and boots MUCH faster.']"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","[""Usually I get a budget Samsung, but I had some extra money and decided to upgrade. This phone hot good reviews, some saying it was the best Android phone for the money. I've had it for less than a month, and it's buggy and glitchy as hell. If I am using an app and the phone rings, I can't answer the phone; it takes too long for the option to come up. The screen will go black and stay black. I've had to restart it numerous times.\nI'm going to return it and hope this one was a lemon.""]"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","['Great look, size , battery life and price.\nGoogle assistant key,Dual camera feature.\nOverall great product']"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","[""Works as expected, and is a good phone for light users. Got this for my parents who make calls and watch YouTube videos. It has great battery life. They get almost 2 days. It does lag a little initially when setting up but doesn't seem like it does much now\n\nUpdate: just learned 3rd party notifications like WhatsApp don't work. Will adjust rating once fixed""]"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['Very pretty phone easy to set up looks super nice amazing cameras and awesome space']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","['Awesome budget phone, easy to set up . Nice camera for the price']"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","['El teléfono me salió en buen precio $2089 por eso me animé a comprarlo, se siente lento a pesar de que tiene 2gb en ram. El teléfono llegó en perfectas condiciones con android 10 y una funda de plástico trasparente, el 25 de junio recibió una actualización y lo noto un poco mejor en rendimiento. Por el precio creo que fue buena compra, lo utilizo como teléfono secundario, así que no lo he saturado de aplicaciones. Para ver Netflix, y plataformas de videos esta bien.']"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['La verdad todo muy bien llegó antes de lo esperado y si estaba un poco estresado por algunos comentarios negativos pero al final todo salió bien llegó nuevo con todos sus accesorios recomiendo ampliamente al vendedor seguro y confiable y sobre el celular tengo 5 Días usándolo y todo va muy bien la verdad me ha encantado espero y siga así']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['Excelente teléfono. A muy buen precio']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['']
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object","['Excelente celular, buen precio, buen tamaño, desventaja no esta totalmente desbloqueado tiene app de movistar pero lo malo tardo en llegar']"
"Mobile    [Nokia 2.3 Fully Unlocked Smartphone with AI-P...
Name: 4, dtype: object",['']
"Mobile    [UMIDIGI A7 Pro Unlocked Cell Phones(4GB+128GB...
Name: 5, dtype: object","[""I bought this phone for my younger brother, who has been an Umidigi user for more than five years and was in the ned of a cheap, yet trustable device. This phone served this purpose and surprised us with an incredible camera set up.\n\nPros:\n\n- Price: In this market, getting a $169.99 phone + 2-day shipping (if you are a prime user) + Stock android + great set of cameras = Fantastic\n\n- Screen: Despite my dislike of the bottom chin, the screen quality it's great. Very bright, fluid, and QHD. Yes, you read it right, QHD. Tell me a phone at this price range with something that it is not Full HD? Exactly, just this one.\n\n- Battery life: Using youtube + phone calls + messaging + WiFi + Data = I got 32% at the end my day (around 10 PM). Like any other phone, you will charge it at the end of the day to have it ready.\n\n- Headphone jack: Look, I love my Bluetooth headset. But when it comes to audio quality, there's nothing better than to be 'old school' and plug your headphones. With this feature disappearing, having the option is great.\n\n- Expandable storage: Despite the 128GB internal memory setup, you can spend $20 to get 128 GB more through SD. Cheap, reliable, and easy fix.\n\n- 2 SIM cards: You can use up to two SIM cards on the same phone. I don't use this feature, but I know some of you may like it.\n\n- Unlocked + Global 4G VoLTE bands: In short, you can use this phone with any carrier that uses a SIM card in the world. Also, since T-mobile is now switching to phones that are 4G VoLTE capable only (sorry 3G phones), this phone will work.\n\n- Cons (only one):\n\n- RAM: Despite the ram is the second-to-last generation available in the market (top of the line phones are now using the LPPDRX5), it's fast and reliable. However, the only negative point to me is that it has only 4 GB of ram. My brother, who is coming from an Umidigi phone he bought 5 YEARS AGO, has 6 GB of ram. I think this is the only weak spot on this phone. However, if you don't have 20 apps running in the background, the new android manager (pre-installed in Android 10) will do magic with this ram amount, and you won't even feel a difference with phones that have 6 or 8 GB.\n\nSummary: A great mid-range phone, with great cameras, and unbeatable price.\n\n(If you made it to the end, thank you for time)""]"
"Mobile    [UMIDIGI A7 Pro Unlocked Cell Phones(4GB+128GB...
Name: 5, dtype: object","[""Let's get the question on everybody's mind out of the way first: Will the UMIDIGI A7 Pro perform as well as a top-tier flagship smartphone from other OEM's - no. Will it perform well in your everyday tasks that most users need a smartphone for - absolutely!\nAfter using the phone for a few days I was pleasantly suprised by just how will it performed for all but the most processor intensive games.\nFirst impressions are extremely important and can make or break your opinion of a device which is why I wanted to include a couple of pictures that show just how much attention to detail and thoughtfullness was put into that all important first impression.\nFrom the little outer sleeve, to the thank you card, through the notes on the front and back screen protectors, and ending with the script on the sleeve containing the little quick start guide and sim extraction tool are all classy.\nNote that both a case and screen protector are pre-installed on the phone.\nOnce you remove the case you get a glimpse at the beautiful finish on the back of the phone, blue is the color I picked and boy does it ever shine and shimmer in the light. Really nice job. Also on the back is the four camera module housed in a rectangular bump. Again I'd like to point out the attention to detail here with the layout and something as seemingly simple as the font and color used for the text, and making the flash element look like a light strip.\nI'm 'color blind' so I can't comment on the color accuracy of the photos I've taken but they are, in my opinion, quite good as far as subject reproduction.\nThe addition of a macro and wide angle lenses make a difference and aid in getting just the right shot.\nThere were two OTA updates available from UMIDIGI which I installed - now, that may seem normal, but what wasn't was that there was a description of what bugs were addressed and features that would be added.\nAnother pleasant surprise was that there was no bloatware installed - only a subset of Google apps that most people would install anyway.\nUMIGIDI has gone very light with the skinning of Android which no doubt helps keep the performance of the device up, especially when combined with 4GB of RAM and 128G of storage space (which is expandable). Little helpful touches like having the choice to turn off alerts for turning off the screen or plugging in the charger are a welcome addition. The fingerprint reader on the back is as fast and accurate as ant other I've used. The screen is bright and easy to read.\nBattery life has been impressive, I got the phone Sunday afternoon and even after the rigours of setting up a new device, installing all of the software and updates, and getting everything configured the way you want it, I still had 20% remaining as I write this on Tuesday evening.\nAs stated in my description, this phone may be inexpensive, but the combination of build quality and feature set make it perform far above the price you've paid for it.\nYou will not be disappointed if you decide to purchase this device as long as you are not a hard core gamer.""]"
"Mobile    [UMIDIGI A7 Pro Unlocked Cell Phones(4GB+128GB...
Name: 5, dtype: object","[""I can't believe how nice this phone is for the price..I'm not a gamer but this baby is fast when browsing I have Verizon as my phone carrier everything from my previous phone loaded up in 10 minutes unbelievable all my apps, pictures and texts messages...I've never had that experience with any other phone and my previous phone was a Pixel 2 XL I didn't think this phone will work with my carrier but boy was I surprised even the customer service agent who helped me said the phone was nice for the price. My son told me not to get it that it was trash..lol coming from Apple lover..🙄..I told him time will tell but for now I'm going along for the ride..🤗... Update this phone is trash it went out on me started shutting it self off and on then went black only had it for 3 months never even dropped it my son was right a waste of money should've listened..🤦🏾\u200d♀️..if I could give 0 stars I would highly dissatisfied customer..🤬""]"
"Mobile    [UMIDIGI A7 Pro Unlocked Cell Phones(4GB+128GB...
Name: 5, dtype: object","[""My phone I have currently is an S8, I can't believe the asking price for this phone! They've packed so much cool useful features on this budget phone when I first saw they had the new A7 Pro here on Amazon I went for it, glad I did!\n\nIt's good to look online and see the videos with information on this phone, the specs are everything I wanted, 128 memory with the option to add more if you wanted. Also able to have two sim cards on this phone I can see this being great for people who travel a lot.\n\nOnce I unpackaged it from the box in hand this isn't any light flimsy phone, it's a tad heavier than my S8. Personally, I like this as it doesn't feel cheap or easy to break during a fall.\n\nAnother thing I rarely see is the A7 Pro came with a beautiful case as well as a factory screen protector which is a huge difference as this is the first thing I do when I get a new phone is to protect it. They have packed so much into this phone for SUCH A LITTLE PRICE!\n\nType C charging it's the modern way to charge new devices its nice to see they went with type c charging. In the box, they have included both charging cable & charging block. With a BEAST of a battery 4150mAh goodbye to having to charge my phone every night as it stays charged for close to two days!\n\nTo me, this is a huge upgrade from my Galaxy S8 to this Umidigi A7 Pro so this must say something.\nEven with the Quad camera in the back will allow you to take some very cool snapshots & Videos.\nWith the front-facing 16MP resolution Selfie camera.\n\nI was super excited to get this it's now my daily phone, it's well worth the small price tag as you get some much with this phone. Hope this helps with your purchase.\n\n××EDIT××\nSuch a great phone buying another 64GB A7 Pro for my youngest daughter, the appearance of the phone, in general, is beautiful. For $199.99 it's a steal. Even has a biometrics finger printer scanner.\nRunning the current Android 10. It may be a tad slow as it has one of the older chips. It's nothing noticeable. They've packed so much into this budget device and I am a total fan. Just bought another one thank-you!""]"
"Mobile    [UMIDIGI A7 Pro Unlocked Cell Phones(4GB+128GB...
Name: 5, dtype: object","['I needed to buy a phone as soon as possible for a friend of mine because he didn\'t have the funds to buy his own. I was looking at the UMIDIGI brands and researched them for a bit to find out that they are the new beginning of flagship killers. All the UMIDIGI phones are packed with good first or secondary choice hardware, and has capabilities of a top-notch flagship killer.\n\nThis phone was fast, aesthetic, good build, durable. Specific specs that I liked about this phone would be the dual SIM card slot (because not many phones have dual SIM\'s *cough* flagship), extra storage (comes with MicroSD card slot), the beautiful 6.3"" full HD screen, long battery life of 4150mAh, and not much or any bloatware (which means it doesn\'t come with many apps on first startup). It comes with a case which is great and lastly, it has ""decent"" speakers. I wouldn\'t say they\'re above average, but they do produce a great and loud sound. It lacks bass though.\n\nCons, for the price you\'re paying, you\'re expected to have some sacrifice like the camera. If you\'re a really keen and hard user for cameras, I do not suggest you buy this phone. It will take average pictures and the settings and aperture adjustments aren\'t very good. Otherwise, if you just wanna capture memories on an ""average"" camera, then yeah this phone would be good.\n\nOverall, for the price, you get what you paid for. That\'s my experience with it. I\'m happy I bought it for my friend and he loves it as well as me.']"
